ChEMBL,Smiles,Label
CHEMBL4454065,Fc1ccccc1-c1cn(Cc2ccc(-c3cccnc3)cc2)nn1,1
CHEMBL4104599,Nc1n[nH]c2cccc(-c3ccc(NC(=O)C4(C(=O)Nc5ccc(Br)cc5OC(F)(F)F)CC4)cc3)c12,1
CHEMBL3910031,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@H]1CO[C@@H]2[C@@H](OC)CO[C@H]12,1
CHEMBL2333593,CCCCCn1c(-c2ccccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,1
CHEMBL2333603,CCCCn1c(-c2ccccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,1
CHEMBL3787614,Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,1
CHEMBL245636,COc1cc(-c2cnc(N)c3c(-c4cccc(Cl)c4Cl)csc23)cc(OC)c1OC,1
CHEMBL249821,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,1
CHEMBL1270076,CS(=O)(=O)Nc1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,1
CHEMBL445162,CS(=O)(=O)c1cccc(Nc2nccc(Nc3c(Cl)ccc4c3OCO4)n2)c1,1
CHEMBL1270671,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4ccoc34)n2)c1,1
CHEMBL1271082,COCCN(c1ccnc(Nc2cccc(S(C)(=O)=O)c2)n1)c1c(Cl)ccc2c1OCO2,1
CHEMBL1270379,CN(c1ccnc(Nc2nc(N3CCOCC3)cc(N3CCOCC3)n2)n1)c1cccc2[nH]ncc12,1
CHEMBL1271081,CS(=O)(=O)c1cccc(Nc2nccc(N(CC#N)c3c(Cl)ccc4c3OCO4)n2)c1,1
CHEMBL574236,COc1ccccc1-n1c(-c2ccccc2C)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,1
CHEMBL2333600,COc1ccccc1-n1c(-c2ccccc2Cl)cn2c3c(=O)[nH]c(=O)n(C)c3nc12,1
CHEMBL3943734,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@@H]1CO[C@@H]2[C@@H](NS(C)(=O)=O)CO[C@H]12,1
CHEMBL1079809,O=C(Nc1cccc(-c2cn3ccnc3c(OCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,1
CHEMBL3919501,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CCC1,1
CHEMBL4165168,C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3c(C)cccc3C)cc2)cn1,1
CHEMBL1079795,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)c1cccc(C(F)(F)F)c1,1
CHEMBL1080530,COc1cccc(NC(=O)Nc2cccc(-c3cn4ccnc4c(NCc4ccncc4)n3)c2)c1,1
CHEMBL3905012,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCCN1CCCC1,1
CHEMBL1081013,COc1cc(OC)c(NC(=O)Nc2cccc(-c3cn4ccnc4c(NCc4ccncc4)n3)c2)cc1Cl,1
CHEMBL1081402,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1c(Cl)cccc1Cl,1
CHEMBL1081568,O=C(Nc1cc(Cl)cc(Cl)c1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,1
CHEMBL1271288,c1cc(Nc2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c2cc[nH]c2c1,1
CHEMBL268825,Cc1cc(-c2ccccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,1
CHEMBL1269965,CN(C)C(=O)c1cccc(Nc2nccc(Nc3cccc4[nH]ncc34)n2)c1,1
CHEMBL1271287,c1cc(Nc2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c2[nH]ncc2c1,1
CHEMBL1271187,c1cc(Nc2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c2cn[nH]c2c1,1
CHEMBL3321804,Cc1ccc(CO)cc1-n1c(N)c(C(N)=O)c2nc3ccccc3nc21,1
CHEMBL1242287,Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,1
CHEMBL1242475,Nc1ncnc2c1c(-c1ccc3[nH]ncc3c1)nn2C1CCCC1,1
CHEMBL3321803,COc1ccc(C)c(-n2c(N)c(C(N)=O)c3nc4ccccc4nc32)c1,1
CHEMBL3321822,NC(=O)c1c(N)n(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)c2nc3ccccc3nc12,1
CHEMBL1242379,COc1ccc(-c2nn(C(C)(C)C)c3ncnc(N)c23)cc1OC,1
CHEMBL1240566,Cn1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21,1
CHEMBL1271393,c1cc(Nc2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c2nn[nH]c2c1,1
CHEMBL1270183,Cc1n[nH]c2cccc(Nc3ccnc(Nc4cc(N5CCOCC5)cc(N5CCOCC5)c4)n3)c12,1
CHEMBL1270280,CN(c1ccnc(Nc2cc(N3CCOCC3)nc(N3CCOCC3)c2)n1)c1cccc2[nH]ncc12,1
CHEMBL1762547,CCN(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)c1cc(CO)ccc1C,1
CHEMBL1269964,CN(c1ccnc(Nc2cccc(CO)c2)n1)c1cccc2[nH]ncc12,1
CHEMBL1270569,CS(=O)(=O)c1cccc(Nc2nccc(Nc3cccc4c3OCO4)n2)c1,1
CHEMBL1270976,CN(c1ccnc(Nc2cccc(S(C)(=O)=O)c2)n1)c1c(Cl)ccc2c1OCO2,1
CHEMBL488271,CNC(=N)SCCCn1c(=O)c2n3ccc4cccc(c43)c3cc4ccccc4n3c=2c1=O,1
CHEMBL1762540,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCN(O)CC3)c2)n1,1
CHEMBL1762536,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCCC3)cc(N3CCOCC3)c2)n1,1
CHEMBL1762525,COc1cccc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,1
CHEMBL1762537,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCCCC3)cc(N3CCOCC3)c2)n1,1
CHEMBL1762535,COc1cncc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1,1
CHEMBL1081054,CNc1nc(-c2cccc(NC(=O)Nc3cc(Cl)ccc3OC)c2)cn2ccnc12,1
CHEMBL1080000,Cc1ccc(NC(=O)Nc2cccc(-c3cn4ccnc4c(NCc4ccncc4)n3)c2)cc1,1
CHEMBL1079501,O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,1
CHEMBL1082107,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccccc1Cl,1
CHEMBL1079810,CN(Cc1ccncc1)c1nc(-c2cccc(NC(=O)Nc3cccc(C(F)(F)F)c3)c2)cn2ccnc12,1
CHEMBL1081740,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(F)c(C(F)(F)F)c1,1
CHEMBL1762546,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1,1
CHEMBL4100979,Nc1n[nH]c2cccc(-c3ccc(NC(=O)C4(C(=O)Nc5ccc(F)c(F)c5)CC4)cc3)c12,1
CHEMBL1242024,Cc1cc(O)ccc1-c1nn(C(C)C)c2ncnc(N)c12,1
CHEMBL1242573,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21,1
CHEMBL3900567,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1csc(COC(=O)c2ccccc2)n1,1
CHEMBL3929966,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C(=O)c2c(F)ccc(F)c2F)CCO1,1
CHEMBL3964605,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1O[C@@H]1C[C@H]2OCC3(OCCO3)[C@H]2O1,1
CHEMBL3951403,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CCC2CCCCC2)CCO1,1
CHEMBL3965938,CCC(=O)CN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,1
CHEMBL3932698,CCCCCCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,1
CHEMBL3946469,C=CCN1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1,1
CHEMBL3932218,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CC=C(C)C)CCO1,1
CHEMBL3965625,COc1cc2c(Nc3ccc(Br)c(Cl)c3)ncnc2cc1OC1=CO[C@H]2[C@H]1OC[C@@]21COC(C)(C)O1,1
CHEMBL3909603,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN(C)CC(=O)N1C,1
CHEMBL3936440,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(CN(C)C)no1,1
CHEMBL241517,Nc1ncc(-c2cccc(S(N)(=O)=O)c2)c2scc(-c3ccc(F)c(Cl)c3)c12,1
CHEMBL271179,Cn1c(=O)[nH]c(=O)c2c1nc1n(CCCCO)c(-c3ccccc3)cn21,1
CHEMBL1242113,CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,1
CHEMBL3928601,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(C)CC(C)(C)O1,1
