ChEMBL,text,labels
CHEMBL3906709,N[C@H]1CN(c2ccc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2cncc(F)c2)C[C@@H]1O,1
CHEMBL4538000,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCNCC2)n1,1
CHEMBL271008,O=C(Nc1nnc(SCc2cccc(Cl)c2)s1)c1ccc(F)cc1,1
CHEMBL3897561,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC3(CNC3)C2)c(-c2ccn[nH]2)c1,1
CHEMBL3922003,CO[C@H]1CN(c2ncc(C(=O)Nc3ccc(OC(F)(F)Cl)cc3)cc2-c2ccn[nH]2)C[C@@H]1N,1
CHEMBL1240544,C[C@@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,1
CHEMBL3639840,Cc1c(F)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3689716,CC1CC(C)N1c1ccc2cc(NC(=O)C3CC3F)ncc2c1,1
CHEMBL3689567,Cc1cc([C@@H](C)O)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3639885,Cc1cccc(C)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3921051,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(OC2CCOCC2)c(-c2cncnc2)c1,1
CHEMBL3974180,CN(CCO)c1ncc(C(=O)Nc2ccc(SC(F)(F)F)cc2)cc1-c1cncc(F)c1,1
CHEMBL3977018,Cc1ncc(-c2cc(C(=O)Nc3ccc(OC(F)(F)F)cc3)cnc2N2CC(CO)C2)cc1F,1
CHEMBL2316584,CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,1
CHEMBL4110930,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(NCC[C@@H](O)CO)c(-c2ccn[nH]2)c1,1
CHEMBL2316870,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]nc(C3CC3)c2c1,1
CHEMBL2316582,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,1
CHEMBL1836680,CSc1nc(Nc2cccc(Br)c2)c2cnn(CC(C)c3ccccc3)c2n1,1
CHEMBL3918819,COCCOc1ncc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1ccn[nH]1,1
CHEMBL3685052,COc1ccccc1C(=O)Nc1cc2ccc(-c3cc(F)ccc3C)cc2cn1,1
CHEMBL288280,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,1
CHEMBL565366,CN1CCN(C(=O)c2ccc(Nc3ncc4cc(-c5c(Cl)cccc5Cl)c(=O)n(C)c4n3)cc2)CC1,1
CHEMBL3689588,O=C(Nc1cc2ccc(OC3CCC[C@H]3O)cc2cn1)C1CC1,1
CHEMBL3689691,Cc1nc(Cl)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3639884,Cc1cnc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3898258,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2C[C@H](O)[C@@H](O)C2)c(-c2cncnc2)c1,1
CHEMBL2178277,CN1CCN(Cc2ccc(NC(=O)c3ccc(Cl)c(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,1
CHEMBL2177650,Cc1ccc(C(=O)Nc2ccc(CN3CCCCC3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,1
CHEMBL2177648,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,1
CHEMBL3689710,Clc1cccc(Cl)c1-c1ccc2cc(Nc3ccnc(N4CCOCC4)n3)ncc2c1,1
CHEMBL3689711,CCc1cc(Nc2cc3ccc(-c4c(Cl)cccc4Cl)cc3cn2)nc(N2CCOCC2)n1,1
CHEMBL3689713,Cc1c(-c2ccc3cc(NC(=O)C4C[C@@H]4F)ncc3c2)cnc([C@@H](O)C(F)(F)F)c1Cl,1
CHEMBL3957410,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC(O)C2)c(-c2ccn[nH]2)c1,1
CHEMBL3347647,CN(C)CCCNC(=O)c1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,1
CHEMBL3689682,O=C(Nc1cc2ccc(-c3c(Cl)cccc3Cl)nc2cn1)C1CC1,1
CHEMBL3930961,O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC(CO)C2)c(-c2ccn[nH]2)c1,1
CHEMBL3689671,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(OC2CCNCC2)n1,1
CHEMBL3685139,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL2178275,CN1CCN(Cc2ccc(NC(=O)c3cccc(-n4cc(-c5cnc6[nH]ncc6c5)nn4)c3)cc2C(F)(F)F)CC1,1
CHEMBL2177649,Cc1ccc(C(=O)Nc2ccc(CN3CC[C@@H](N(C)C)C3)c(C(F)(F)F)c2)cc1-n1cc(-c2cnc3[nH]ncc3c2)nn1,1
CHEMBL2177644,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1-n1cc(-c2ccc3[nH]ncc3c2)nn1,1
CHEMBL3685187,Cc1ccncc1-c1ccc2cc(Nc3cccc(CO)n3)ncc2c1,1
CHEMBL3685189,C[C@H](CCO)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL2376650,C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)c1)c1c(Cl)ccc(F)c1Cl,1
CHEMBL477555,O=C(Nc1ncc(Cc2cc(C(F)(F)F)ccc2Cl)s1)c1cccs1,1
CHEMBL2347728,CCOc1ccccc1-c1ccc2nc(NC(=O)NCCCO)sc2c1,1
CHEMBL3347650,COCc1cc2cc(NC(=O)c3ccccc3Br)cnc2[nH]1,1
CHEMBL2347740,CCNC(=O)Nc1nc2ccc(-c3ccccc3OC(F)(F)F)cc2[nH]1,1
CHEMBL2408496,Cc1cc(NC(=O)COc2cc(O)c3c(=O)cc(-c4ccccc4)oc3c2)ncc1Br,1
CHEMBL1165511,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1,1
CHEMBL250821,Cc1cc(-c2c(Cl)ccc(O)c2F)cc2nnc(Nc3ccc(S(=O)(=O)NCCN4CCCC4)cc3)nc12,1
CHEMBL398845,CCN(CC)CCN1CCC(S(=O)(=O)c2ccc(Nc3nnc4cc(-c5cc(O)ccc5Cl)cc(C)c4n3)cc2)CC1,1
CHEMBL250625,Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(=O)(=O)C4CCNCC4)cc3)nc12,1
CHEMBL2316585,CN1CCN(Cc2ccc(NC(=O)c3ccc(C4CC4)c(C#Cc4cnc5[nH]ncc5c4)c3)cc2C(F)(F)F)CC1,1
CHEMBL1242026,Cc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O,1
CHEMBL3685196,O=C(Nc1ccc(F)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCOCC1,1
CHEMBL3689597,Cc1cc([C@@H](O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL3689627,Cc1cc(C(C)(C)O)ccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,1
CHEMBL2403817,CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)n(-c2cccc(NC(=O)OCC3c4ccccc4-c4ccccc43)c2)n1,1
CHEMBL207471,Nc1[nH]cnc2nnc(-c3ccc(Cl)cc3)c1-2,1
CHEMBL4538292,O=C(NC1=NN(c2ccc(Cl)c(Cl)c2)CC1CCO)c1ccncc1,1
CHEMBL391724,CSc1nc(NCc2ccccc2F)c2cnn(CC(Cl)c3ccccc3)c2n1,1
CHEMBL55379,FC(F)C(F)(F)Oc1cccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c1,1
CHEMBL3347420,COC(=O)c1cc2cc(NCc3ccc4cc[nH]c4c3)cnc2[nH]1,1
CHEMBL3347390,COC(=O)c1cc2cc(NCc3cc[nH]n3)cnc2[nH]1,1
