smiles,class
CN1C2COCC1CC(NC(=O)c1cn(-c3nccs3)c3ccccc13)C2,1
COc1ccccc1C1C(C(=O)C(C)C)=C(O)C(=O)N1c1ccc(-c2ccsc2)cc1,1
Cc1cc(-c2ncc(CNC[C@H](O)c3ccc4c(c3C)COC4=O)s2)ccc1C#N,1
FC(F)(F)c1ccc(Nc2nc(-c3ccco3)nc3c2CCN(c2ncccc2C(F)(F)F)CC3)cc1,1
C[C@H](O)[C@@H](O)c1cnc(N2CCN(C(=O)Nc3nc4cc(F)c(F)cc4s3)C[C@H]2C)c(F)c1,1
CCCc1ccc(S(=O)(=O)N[C@@H]2c3cc(NC(=O)c4cccc(OC)c4)ccc3CC[C@H]2O)cc1,1
Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(C#N)nc2)C3)ccc2c1COC2=O,1
COc1cc2c(cn1)OCC21C(=O)N(CC2CCCCO2)c2ccccc21,1
NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,1
COc1ccc(/C=N/NC(=O)[C@@H]2C[C@H]2c2cccc(C(F)(F)F)c2)cc1OC,1
Cn1c(=O)n(CCCO)c(=O)c2c1nc(Oc1cccc(OC(F)(F)F)c1)n2Cc1ccc(Cl)cc1,1
CS(=O)(=O)Nc1noc2cc(COc3ccc(Cl)c(Cl)c3)c(C3CC3)cc12,1
CC(C)Oc1ccc(/N=c2\[nH]c(=O)n(CC(C)(C)C(=O)O)c(=O)n2Cc2ccc(Cl)cc2)cc1Cl,1
Cc1c(C(=O)N(c2ccc(O)cc2)c2cnc3c(c2)CCN3C)cc(-c2cc(Cl)ccc2C(=O)N2Cc3ccccc3C[C@H]2CCCN2CCOCC2)n1C,1
Cc1ccsc1/C=C/C(=O)N[C@@H]1C2CCN(CC2)[C@H]1Cc1cccnc1,1
O=c1cc(NC2CCN(Cc3ccc4ccccc4c3)CC2)c2cc(Cl)ccc2n1Cc1ccccn1,1
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC2(CN3CCCC3)CC2)cc1F,1
Cc1c(-c2ccc(N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3)nc2C(=O)O)cccc1N(C)c1ccccc1,1
NS(=O)(=O)c1cc(NC(=O)Cc2ccccc2Cl)ccc1Oc1cncc(Cl)c1,1
C[C@@H](NCc1cc(I)cc2nc(O)c(O)nc12)P(=O)(O)O,1
N#Cc1cncc(C2=C[C@H]3CNC[C@@H](C2)C3)c1,1
O=C(NS(=O)(=O)N1CCC1)c1cc(Cl)c(OCC2CCC3(CC2)CC3)cc1F,1
COc1cccc(Oc2ccc3c(c2)S(=O)(=O)NCN3C2CC2)c1,1
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCCCN5CCCC5)c([N+](=O)[O-])c4)c(Oc4cccc5[nH]c6ccccc6c45)c3)CC2)=C(c2ccc(Cl)cc2)C1,1
CN(CCCCc1ccccc1)C1CCc2ccsc2CC1,1
CCn1c(=O)cc(Nc2ccc(Oc3ccnc(C(=O)O)c3)cc2)n(Cc2ccc(Cl)cc2)c1=O,1
CC(C(=O)NCc1ccc(C(F)(F)F)nc1-c1ccoc1)c1ccc(NS(C)(=O)=O)c(F)c1,1
COc1cc(F)c(C(C)C)cc1-c1ccc(N2CCC(CNC(=O)c3ccc(-c4nc5cc(C#N)cc(C(C)C)c5o4)cc3)CC2)nc1,1
C/C(=N\Nc1nc2ccccc2s1)c1cccc(-c2cccc(C(=O)O)n2)c1,1
COc1ccc(Cc2cc(C3CCCCC3)nn(CC(=O)NC3Cc4ccccc4C3)c2=O)cn1,1
CN1C(=O)CCc2c(NC(=O)N[C@H]3CC[C@@H](c4ccccc4F)C3)cccc21,1
CC12CCC(OCC(=O)Nc3ccc(-c4nc5cc(C#N)ccc5o4)cc3)(CC1)CC2,1
CC(C)c1ccc(Oc2ccc3c4c(cccc24)C2=NC(=O)C(NCCCc4ccccc4)=C23)cc1,1
CC(C)(C)C(=O)C1C(=O)C(=O)N(c2ccc(-c3ccsc3)cc2)C1c1ccccc1OCCO,1
COc1cc(C)c2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,1
Nc1cccc2cc(C(=O)N[C@H]3CN4CCC3CC4)sc12,1
CCc1c[nH]c2cc(NC(=O)c3c[nH]c4ccccc4c3=O)ccc12,1
O=C(NCc1ccc(C2(F)COC2)cc1)c1ccn(Cc2ccc(F)c(F)c2)n1,1
O=C(O)c1cccc(-c2ccc3c(c2)/C(=N\Nc2nc4ccccc4s2)CCO3)n1,1
Cc1cc(-c2nncc3c(C(C)(C)C)c(OCc4ncnn4C)nn23)no1,1
