smiles,class
O=C(Cc1cccc2ccccc12)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,1
COC(=O)NC[C@@H](NC(=O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cccc(Br)c1,1
COc1ccccc1Nc1cc(Oc2cc(C)c(C)nc2-c2ccccn2)ccn1,1
O=C(/C=C/CN1CCCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,1
O=C(Nc1cccc(Nc2cc3c(=O)[nH][nH]c(=O)c3cc2Cl)c1)c1cccc(Cl)c1,1
Cc1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(NC3CC4CCC(C3)N4C)n2)on1,1
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(S(N)(=O)=O)cc3)nc12,1
NS(=O)(=O)c1cccc(N/C=C2\C(=O)Nc3ccccc32)c1,1
CC(=O)Nc1ccc2cnn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,1
CS(=O)(=O)c1cccc(Nc2nccc(N(CC#N)c3c(Cl)ccc4c3OCO4)n2)c1,1
Cc1cnc(-c2ccnc(C(C)(C)O)n2)cc1-n1c(C)cc(OCc2ccc(F)cc2F)c(Cl)c1=O,1
Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1/C=C/n1cnc2cncnc21,1
CNC(=O)c1cnn2ccc(N3C[C@@H](O)C[C@@H]3c3cccc(F)c3)nc12,1
COc1cc2c(cc1OC1CCOC1)Cc1c-2n[nH]c1-c1ccc(C#N)cc1,1
CC(C)C[C@@H](NC(=O)CNC(=O)CNC(=O)CCCNC(=O)c1ccc(-c2n[nH]c3ccccc23)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N1CCC[C@@H]1C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)NCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(N)=O)[C@H](C)O)[C@H](C)O,1
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3cccc(SCCN4CCCC4)c3)nc12,1
CCc1cc(-c2ccnc(CC)c2C#Cc2ccc(N)nc2C)ccn1,1
COc1ccc(C(=O)Nc2c[nH]c3ncc(-c4ccc(OC)c(OC)c4)cc23)cc1,1
NS(=O)(=O)c1ccc2[nH]c(-c3ccc(Oc4ccc5ccccc5c4)cc3)nc2c1,1
COc1cc2ncc3c(c(-c4ccc(C#N)cc4)nn3C)c2cc1OCc1cccc(-c2csc(C)n2)c1,1
COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)cc3nc2N)c1,1
N#CC[C@@H](Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,1
NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(=O)c4ccc(C(F)(F)F)cc4F)c3)ncnc12,1
C=CC(=O)Nc1cccc(Cl)c1Nc1ncc(OCc2c(Cl)c(OC)cc(OC)c2Cl)cn1,1
Cc1ccc(OC2CCOCC2)c(C(F)(F)F)c1,1
C[C@@H](NC(=O)c1ccc(-c2cc(-c3cnnn3C)cnc2N)cc1F)c1cccc(Cl)c1,1
O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(F)cc1,1
NC(=O)c1nn(CC2CCNCC2)c2c1CCc1cnc(Nc3ccccc3)nc1-2,1
N#Cc1cnc(NCc2ccccc2)nc1NC[C@@]12C[C@H]3C[C@@H](C1)[C@H](N)[C@H](C3)C2,1
COc1cc(OC)cc(N(CCN2C[C@H](C)O[C@H](C)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl,1
O=C(CN1CCN(c2ccnc(Nc3ncc(-c4cccnc4)s3)c2)CC1)N1CCOCC1,1
COc1cc(Nc2nccc(Nc3cc4ccccc4cn3)n2)cc(OC)c1OC,1
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4ccc(N5CCOCC5)nc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21,1
CN(C)C/C=C/C(=O)Nc1cccc(Nc2nc(Nc3ccc4c(c3)COB4O)ncc2C(F)(F)F)c1,1
CN(c1nc(Nc2cnn(C)c2)ncc1Cl)C1CC2CN(C(=O)CC#N)CC2C1,1
CC(C)(C)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(C#N)c(F)c3)n2)CC1,1
C=CC(=O)Nc1ccc2ncnc(Cc3ccc(F)c(Cl)c3)c2n1,1
CC(C)(C(N)=O)C(=O)NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1Br,1
Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)cc1,1
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cccs1,1
COc1ccc2c(OCc3nnc4ccc(-c5ccc(-c6nc(C)no6)c(Cl)c5)nn34)ccnc2c1,1
c1csc(-c2ccc3[nH]nc(-c4cncc(O[C@H]5CNCCC56CC6)n4)c3c2)n1,1
CNc1ncc2cc(-c3ccc(-n4cccc(C)c4=O)cc3Cl)c(=O)n(CC(F)(F)CN)c2n1,1
C=CC(=O)N1CCC(n2cc(-c3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,1
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3cccc(F)c3-4)cc2)CCC1,1
Brc1c(Br)c(Br)c2[nH]c(Nc3ccccn3)nc2c1Br,1
Cc1cc(Nc2nccc(-c3cn(C)cn3)n2)cc2cc(C(=O)N(C)Cc3ccn(C)n3)[nH]c12,1
Cc1ccc(NC(=O)c2cccc(OC(F)(F)F)c2)cc1-c1cc(N2CCOCC2)nc(N2CCOCC2)n1,1
Cc1cncc(-c2cc3c(cn2)cnn3-c2cccc(N3CCNCC3)n2)n1,1
C[C@@H](Oc1cc(F)ccc1Nc1ncnc2cc(N=S(C)(=O)C(C)(C)C)cc(F)c12)C(=O)NCC(F)(F)F,1
COc1ccc(-c2ccc3ncc4c(c3n2)n([C@H](C)CO)c(=O)n4C)cn1,1
Nc1c(F)c(NCCNc2ccccn2)c(F)c2c1c(=O)c(C(=O)O)cn2C1CCCC1,1
Cc1cccc(Cl)c1Nc1nc2ccc(Br)cc2n2cncc12,1
Cc1ccc(Nc2nc3cc(Oc4ncnc5c4cnn5C)ccc3n2C)cc1,1
Cn1cc(Nc2ncc(Cl)c(NC3CCC4(CC3)CCN(C(=O)CC#N)C4)n2)cn1,1
COc1cc(OC)c(Cl)c(-c2ccc(C(=O)Nc3ccc(CN4CCN(C)CC4)cn3)c3nc(C)c(C)nc23)c1Cl,1
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cc(-c3ccc4ncccc4c3)[nH]n2)cc1,1
Cn1c(=O)c(Cl)c(Nc2ccc(Br)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21,1
Cc1ncnc(N2CCC(O)(C3CCCCC3)CC2)c1C#Cc1ccc(N)nc1,1
COc1ccc(-c2nc3c(N4CCN(Cc5ccncc5)CC4)c(Br)cnc3[nH]2)cc1,1
N#Cc1cc(-c2ccnc(Nc3cnc(CO)cn3)c2)ccc1OC1CCOCC1,1
O=C(Nc1ccc(Oc2ncnc3sc4c(c23)CCCC4)cc1)c1ccccc1,1
Cc1ncc(-c2ccc(Nc3cc4cc(-c5cnn(CC(C)(C)O)c5)ccc4cn3)cc2)n1C,1
Cc1cccc([C@@H](CO)NC(=O)c2ccc(-c3cc(-c4ccnn4C)cnc3N)cc2F)c1,1
N#C[C@H]1C[C@H](NC2COC2)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(CC(F)(F)F)cc2)n1,1
COc1ccc(-c2cc(Nc3ccc(N4CCN(C)CC4)cc3)[nH]n2)s1,1
N#Cc1ncc(Nc2cc3ccccc3cn2)nc1OC1CCCNC1,1
NC1(c2ccc(Cl)cc2)CCN(c2ncnc3[nH]cnc23)CC1,1
Nc1cc(Br)ccc1Nc1ncnc2ccncc12,1
CN1CCN(c2cnc3cc(C(F)(F)F)cc(NS(=O)(=O)c4cccc([N+](=O)[O-])c4)c3n2)CC1,1
O=C(CBr)C1=C(c2c[nH]c3ccccc23)C(=O)NC1=O,1
COc1cc2ncnc(C#C[C@](C)(O)Cc3ccccc3)c2cc1OC,1
